source,place_id,name,address,postcode,lat,lng,opening_hours,rating,review_count,price_level,business_status,website,editorial_summary,photo_reference,streetview_url,place_types,price_manual,notes
google,ChIJ6Ry6PXI7e0gR777Dx0WoYM4,YourParkingSpace,"Tesco Superstore, Liverpool L37 8DP, UK",L37 8DP,53.554067,-3.044121,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,,,,OPERATIONAL,https://www.yourparkingspace.co.uk/locations/show/4294956816?utm_source=google&utm_medium=maps&utm_campaign=book_now,,,"https://maps.googleapis.com/maps/api/streetview?size=1200x800&location=53.554067,-3.044121&fov=90&source=outdoor&key=AIzaSyBr0c6BS47NvWZdsRGXWjFuDX_sBZJY0DE","establishment,parking,point_of_interest",,
google,ChIJX-jpe_s8e0gRczWwy5gOEgo,113 School Ln Parking,"113 School Ln, Ormskirk L39 7JE, UK",L39 7JE,53.5615912,-2.9685434,,4.7,6,,OPERATIONAL,,,ATCDNfWEiHQlGl6HysEUMsloaBpIH3Mo8MW10ByCDPk0K7M7AjuNAjDpjkERXgSuXJckwa0g_fjgi0SFnO1yXghUGFUQuvcoy6Wqn85vj-OjXOS-WBIFahDQKLZuONU01W6N25wwTk8-FZYYe8CVq_AruT3LEbyuZ_-V34SUwjoeHWmw_-CngpQuLuojVkMuOyTereoxGsBA0eJ1Z2sD8t60b4gJRYCFEGefFy-7XDltxhrNWuHITvDCxwKeCQHdg8wqYp-2dQ7-Gl5XzdD-C1DMlvPowJwPXZgiRB2cLQ3tFSYlAI9FyQzmummkSDY60uppycovyWt0iES4vGkl_4_kfPGB62qEgaNVU7trwuf0jg-x8S_QXI2LbqD2qcTh-8lHYjQQz4vv-SvBjLUWdnnSpd14YXNZqTrtVSvRP0l2rlWZsc3o,"https://maps.googleapis.com/maps/api/streetview?size=1200x800&location=53.5615912,-2.9685434&fov=90&source=outdoor&key=AIzaSyBr0c6BS47NvWZdsRGXWjFuDX_sBZJY0DE","establishment,parking,point_of_interest",,
google,ChIJMVZ4UPU9e0gREuQ5HGppmhM,Scarisbrick Arms Car Park,"Downholland Cross, Ormskirk L39 7HX, UK",L39 7HX,53.5540558,-2.960548,,,,,OPERATIONAL,,,,"https://maps.googleapis.com/maps/api/streetview?size=1200x800&location=53.5540558,-2.960548&fov=90&source=outdoor&key=AIzaSyBr0c6BS47NvWZdsRGXWjFuDX_sBZJY0DE","establishment,parking,point_of_interest",,
google,ChIJLweuuYo6e0gRp8yk7kEmdBE,"National Trust Car Park, Victoria Road","Formby, Liverpool L37 1YD, UK",L37 1YD,53.56565149999999,-3.0970857,,4.2,128,2,CLOSED_TEMPORARILY,https://www.nationaltrust.org.uk/visit/liverpool-lancashire/formby,,ATCDNfW-r9JUjSiYIO0alE5nli609L4cMHAdneSln9s_0YZBMI29CSefzvrsfLwioRsvROkVubnEEvCQFc5dveoWzxC1fYC7PirbH3fwoQlEihaAZQM6XTnWkILv587rO8ksfvGIZY3hM9iA3kBbvXg87_l192gDD2dqa28DJnPosJ-1sQqljtxI-wmhQQd3VMh6awwOfWYG0OsFkj7qJjADvQuy1r06s5BetTywvw_RnGy_B17fXJZPXgYxvdwBgCv02vrjLgiWkQpxULAkSI75jQOhnpjiWNw6JxKDvSzx0xQFfy3-eiIIDpfgRjUEuDo4nXe7_Y0d8ULGkW5ouu-g8-3SScwtTOIEJMnd9M2xZvL6DIrRISVpB1HUJ-tKvJqp50MDS0VqgJ3XxfFFoDEps39mPf0k3hi9GEnuR9WEDa2T-jk6,"https://maps.googleapis.com/maps/api/streetview?size=1200x800&location=53.56565149999999,-3.0970857&fov=90&source=outdoor&key=AIzaSyBr0c6BS47NvWZdsRGXWjFuDX_sBZJY0DE","establishment,parking,point_of_interest",,
google,ChIJCyWd58sXe0gRgzTD_ENSeAU,Hutton Way Car Park,"Hutton Way, Ormskirk L39 3BW, UK",L39 3BW,53.5670818,-2.887048,,2,2,,OPERATIONAL,,,,"https://maps.googleapis.com/maps/api/streetview?size=1200x800&location=53.5670818,-2.887048&fov=90&source=outdoor&key=AIzaSyBr0c6BS47NvWZdsRGXWjFuDX_sBZJY0DE","establishment,parking,point_of_interest",,
google,ChIJaelDc8wXe0gR8Pyt2Pr4tfU,Park Pool Car Park,"Ormskirk L39 3BF, UK",L39 3BF,53.5680594,-2.8891357,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,3.3,6,,OPERATIONAL,https://www.westlancs.gov.uk/more/your-community/roads-and-travel/parking-in-ormskirk.aspx,,ATCDNfVDjPTP0AU62DPmnX1IWUp2u3o84wRbNRNyVlT4SZdx49-ZPwDcSTCHjQH_wWk0RvMO-xZ4yaeMcTxMo1OzCguLeAoTKp0TuVAjLBvMhACtmSpjyMfojjDFLo4CQPGmtDhB7sr2K2055BkwT3kD8QL1swTU-iywHEixSviomRzl5paOaRXLegjXcSxfDfI1JXF_eWSqeq7kfoQlUsC1xvcdiTlx7c9N43n-SprF7_3FnhsFM1wdmBlDaAlMr8z9Zj8hMi3HL_ekSXJVnwbY0ovD86_C6qe725a3mnYLPeMz30PKK_AomaoeJZRNABQ64DsOfbscFSMInNcaZM0osxZE7eoXMoAwlIuNJmgI95IhfNbkNBLvvMa8c1eoAFtCJvA0iu-iiOTJuQRf_qsPkt-0PwR3rMBTALxHSrghmSkRTPA,"https://maps.googleapis.com/maps/api/streetview?size=1200x800&location=53.5680594,-2.8891357&fov=90&source=outdoor&key=AIzaSyBr0c6BS47NvWZdsRGXWjFuDX_sBZJY0DE","establishment,parking,point_of_interest",,
google,ChIJ486kjMsXe0gREAH0SdFPzKU,Park Road Car Park,"4 Park Rd, Ormskirk L39 3AJ, UK",L39 3AJ,53.568071,-2.8881801,Monday: 8:30 AM – 5:30 PM | Tuesday: 8:30 AM – 5:30 PM | Wednesday: 8:30 AM – 5:30 PM | Thursday: 8:30 AM – 5:30 PM | Friday: 8:30 AM – 5:30 PM | Saturday: 8:30 AM – 5:30 PM | Sunday: Closed,,,,OPERATIONAL,,,ATCDNfX6ZFeXGIsL5Vl1e_JnO640EgCsRM2qRs-rXqctW-hSnsT5q5X9ZBxbF3_lhqgykw1tyT1G_gZNBeS32RIv1Z4SXPhYjbVpvTAENgY4YsyFmyrbGfaE2c56JnYA_KxbuBwgE19H4-7ZES39pKpzI7IWtTknyWiTXX3GMZvWtG0Tmumjrk2CmXvWtbxUK03Za4wtVqqJFJcUherzrxKj2sH6a8Y5fAGhAv34qVBvq7Ia3b1HX4lR3M0KZdeKNa1jU-z9DLkbbI_vK_KglVK1Ov8KjIX0A4CHe_DFl7vxCeTiZXiOur__v1I6cw9P_7XyQopwdxTgAK7_hTGZOQcVqbTLcWezwW5xFqL1cMBEtvW_abRAIaFQzSSZm1IOOQ0Sd-Z0ei8O7d4LK6sdqCLyG6esfKFoGf9i7MkKlH0_9-zR9bGrciq1aCRZAkcL11BR,"https://maps.googleapis.com/maps/api/streetview?size=1200x800&location=53.568071,-2.8881801&fov=90&source=outdoor&key=AIzaSyBr0c6BS47NvWZdsRGXWjFuDX_sBZJY0DE","establishment,parking,point_of_interest",,
google,ChIJneezVmEXe0gR5Q1UX_WYIFI,The Parking Area Two Saints Retail Park,"Two Saints Retail Park, Park Rd, Ormskirk L39 3RN, UK",L39 3RN,53.5676745,-2.8879106,Monday: 7:00 AM – 10:00 PM | Tuesday: 7:00 AM – 10:00 PM | Wednesday: 7:00 AM – 10:00 PM | Thursday: 7:00 AM – 10:00 PM | Friday: 7:00 AM – 10:00 PM | Saturday: 7:00 AM – 10:00 PM | Sunday: 7:00 AM – 10:00 PM,1,2,,OPERATIONAL,https://www.westlancs.gov.uk/more/your-community/roads-and-travel/parking-in-ormskirk.aspx,,ATCDNfUbPQp9-VUSPLn0xEdmL2dEZHEOmtLuG8fZXoaM0ZlvgUisOZbwCznh32_S5RxOwBVzc85tlZqu0MA6btzU_JIT4pxgxn9Xq73uQA4wV2CkXz7VxBZQ1RD2X9b_1EBVD8hfapo-gelNdVWOlSMmTYs9TG-WL9EpvZXIugXe2mFsPHJACGkZM_AxbS-V4NvYcNL72aai0U8azOiA_XxJQ0IbUK3bvqjFPoFltk8zEer4gPT_-gw0BaFmgUYkVc-X0bzZVobdkuJCbSse-vLQbRtTOYoT6yBu-_ofmaP0RXcm_T44KGF2Oou5nVI-AVJMB3igdvZDqvkWDUJcUUUO2GogtZUh33e14Sj08-wbVS4iLhsScfM7m5ORJNl37v2vxbZEL64s90J0UMSW0oMs2T3YwmQHTgTq0JwSGXIl6RTCUQ,"https://maps.googleapis.com/maps/api/streetview?size=1200x800&location=53.5676745,-2.8879106&fov=90&source=outdoor&key=AIzaSyBr0c6BS47NvWZdsRGXWjFuDX_sBZJY0DE","establishment,parking,point_of_interest",,
google,ChIJ7w-OccsXe0gRNOmARsawBoI,Finnegan's Square Car Park,"8 Green Ln, Ormskirk L39 1NE, UK",L39 1NE,53.5699503,-2.8876433,,4,1,,OPERATIONAL,http://www.westlancs.gov.uk/media/43629/ormskirk-parking.pdf,,,"https://maps.googleapis.com/maps/api/streetview?size=1200x800&location=53.5699503,-2.8876433&fov=90&source=outdoor&key=AIzaSyBr0c6BS47NvWZdsRGXWjFuDX_sBZJY0DE","establishment,parking,point_of_interest",,
google,ChIJjVCWrcsXe0gRy_kkswhOrSo,The Stiles Car Park,"Derby St W, Ormskirk L39 3RN, UK",L39 3RN,53.5689027,-2.8864421,,4,53,,OPERATIONAL,,,ATCDNfUHghvFFZRslEYa9eTmOAYL7DVwaPVaFz-dZ7dNMMO5e9YMdaYouMTJN1shnay8VTMehFIAw01gyRdZecjx-CcZTIZFMsE-qDd3q0eVEejZhMx0x7YyWr32uqwGqArWfOZ_jkG8LEfaSWr6dcwk0xGeOalHxFOnb2acImbdrv2XVLeNLlhIG1LKyALPLXGZwK2EFTcuiOoq7RQmoDBYfbPDhYoObb_uQ33-bGxlIPzjiBAEDnCTSp7-Gz391DpkT9-YctPLpE7oC-SipndlIQZmssP25ytj7tvPySyWi4Ow7efTqeHdHoMC8KY9zC3ve0PAwQb7BLEB7ppsM4kz6q0ZsjP6vIMFE9qiwy0FCHRORg59-ZizXLVLxGXIJDdx9SGC3JUqt-GOsjBeCGvXIxlvy0Z3fPWyvV4M1ZXMf6DIog,"https://maps.googleapis.com/maps/api/streetview?size=1200x800&location=53.5689027,-2.8864421&fov=90&source=outdoor&key=AIzaSyBr0c6BS47NvWZdsRGXWjFuDX_sBZJY0DE","establishment,parking,point_of_interest",,
google,ChIJFQrOvisXe0gR6xagEpx9Ta4,Market Way Pay and Display Car Park,"Market Way, Moor St, Ormskirk L39 2AQ, UK",L39 2AQ,53.5666786,-2.8856757,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,4.3,3,,OPERATIONAL,https://www.westlancs.gov.uk/more/your-community/roads-and-travel/parking-in-ormskirk.aspx,,ATCDNfXYR-4oscglUbykpmRL4F_M13kVB08Ner-XUp_quR2sJUvnkHLHoUKl_U08sQ2YQHXV-BmSIB_8LHkhaQRh7SLDWpOTc4LHyf7Q0uOH9nURCmXmp6fToIglisrnORkg69VwLz3tP8EIoSa-SM9iOJpxcX4c6xmCGWNA05grA7G6KqZPBxfjRZ7j9LWyhwKQy8bXfBeabeJGZsVCTXQTurNJaKUNDVb1rOXX4sFbD5aw68qlUd8v9qNWwKBXgZe7Lug4HphOD5UMFad9kzNhrCk7x7-XQcFKLd56-by9KUWIZwtndhlVEr3QgA31IPOGKJ03vlQLN-nFBkhUD_hQprfVSlOcZR98Cm0ATIIH4BHsHNzizEsRI4Kl4KAkgYKspRoZonR7RMFzjoGCUjgwtt4dvEtq99cpohC6WjnNDTfnBw,"https://maps.googleapis.com/maps/api/streetview?size=1200x800&location=53.5666786,-2.8856757&fov=90&source=outdoor&key=AIzaSyBr0c6BS47NvWZdsRGXWjFuDX_sBZJY0DE","establishment,parking,point_of_interest",,
google,ChIJV9RcdMkXe0gRgG6Js5DngeM,Lunesdale (Moorgate) Car Park,"Moorgate, Ormskirk L39 4RT, UK",L39 4RT,53.5657125,-2.8853931,,5,1,,OPERATIONAL,,,,"https://maps.googleapis.com/maps/api/streetview?size=1200x800&location=53.5657125,-2.8853931&fov=90&source=outdoor&key=AIzaSyBr0c6BS47NvWZdsRGXWjFuDX_sBZJY0DE","establishment,parking,point_of_interest",,
google,ChIJSwl1RIcXe0gRLocIvYMeAfQ,Ormskirk,"4 Wheatsheaf Walk, Ormskirk L39 2XA, UK",L39 2XA,53.5680484,-2.884899,,5,1,,OPERATIONAL,,,,"https://maps.googleapis.com/maps/api/streetview?size=1200x800&location=53.5680484,-2.884899&fov=90&source=outdoor&key=AIzaSyBr0c6BS47NvWZdsRGXWjFuDX_sBZJY0DE","establishment,parking,point_of_interest",,
google,ChIJ8bCQOMoXe0gR9sXrm8F9Yn4,Wheatsheaf Pay & Display - Car Park,"Ormskirk L39 2BZ, UK",L39 2BZ,53.5680649,-2.8841944,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,4.2,13,,OPERATIONAL,https://www.westlancs.gov.uk/more/your-community/roads-and-travel/parking-in-ormskirk.aspx,,ATCDNfXO99FQnn610m9HE8s2sRLZqJarzt-FtqyS9CzUquHDMv2gVv7NJDTDl8qLf4EiX7I9_2D3DEjayctywKBseWuqFvCl4dKbZ9QEJ0kH1ew9YZ-20BrLjrrQREgmA5GpgJISzV90s8OkRJoRBQ12AfOvih31BILJ2XJXGGse_WMOhJjSojyWWCEvrO8dbTt_Zntw8guzpDloVQP9LyoxSpY1cAwEpsKsRoRqH_OuOSrggCSa3EMdlairAUR7jwmZma40RPO1gPxLIaCwYnRlVPfTyhR0Z_4FI5OowEwa_nwNEPRH4AVe25a-7-ZKxpDj1uvo6qv-oVKf0GH43CIqP1JDzwia6mUahCjseNd-254al8jYiUZvZZPbWiinh8g2XD3XuzqCHuZzv2LWyGRTG2jrFUNpklx7mz3huLjYL9gc3brO,"https://maps.googleapis.com/maps/api/streetview?size=1200x800&location=53.5680649,-2.8841944&fov=90&source=outdoor&key=AIzaSyBr0c6BS47NvWZdsRGXWjFuDX_sBZJY0DE","establishment,parking,point_of_interest",,
